SD_System,SD_System_Name,SD_Sub_System,SD_Subsystem_Name,discipline,TOTAL ITEM,TOTAL DONE,TOTAL PENDING,TOTAL PUNCH,TOTAL CLEAR PUNCH,TOTAL NOT CLEAR PUNCH,TOTAL HOLD point
ES,Earthing System,ES-03,Earthing & Roof Lightning System for Laboratory & Yard Office,ELECTRICAL,32,0.00,0.00,0,0.00,0.00,0.00
ES,Earthing System,ES-04,Earthing & Roof Lightning System for Analyzer House,ELECTRICAL,11,0.00,0.00,0,0.00,0.00,0.00
ES,Earthing System,ES-05,Earthing & Roof Lightning System for Warehouse,ELECTRICAL,22,0.00,0.00,0,0.00,0.00,0.00
ES,Earthing System,ES-06,Earthing System for Area-02,ELECTRICAL,696,0.00,0.00,0,0.00,0.00,0.00
ES,Earthing System,ES-07,Earthing System for Area-03,ELECTRICAL,379,0.00,0.00,0,0.00,0.00,0.00
ES,Earthing System,ES-08,Earthing System for Area-04,ELECTRICAL,461,0.00,0.00,0,0.00,0.00,0.00
ES,Earthing System,ES-09,Earthing System for Area-05,ELECTRICAL,503,0.00,0.00,0,0.00,0.00,0.00
ES,Earthing System,ES-10,Earthing System for Area-06,ELECTRICAL,394,0.00,0.00,0,0.00,0.00,0.00
ES,Earthing System,ES-11,Earthing System for Area-07,ELECTRICAL,484,0.00,0.00,0,0.00,0.00,0.00
ES,Earthing System,ES-12,Earthing & Roof Lightning System for Security Building,,0,0.00,0.00,0,0.00,0.00,0.00
ES,Earthing System,ES-13,Earthing & Roof Lightning System for Diesel Room,,0,0.00,0.00,0,0.00,0.00,0.00
ESD,Emergency Shutdown,ESD-01,Emergency Shutdown Unit-1000,,0,0.00,0.00,0,0.00,0.00,0.00
ESD,Emergency Shutdown,ESD-02,Emergency Shutdown Unit-2000,,0,0.00,0.00,0,0.00,0.00,0.00
ESD,Emergency Shutdown,ESD-03,Emergency Shutdown Unit-3000,,0,0.00,0.00,0,0.00,0.00,0.00
ESD,Emergency Shutdown,ESD-04,Emergency Shutdown Unit-4000,,0,0.00,0.00,0,0.00,0.00,0.00
ESD,Emergency Shutdown,ESD-05,Emergency Shutdown Unit-5000,,0,0.00,0.00,0,0.00,0.00,0.00
FGS,Fire and Gas Detection,FGS-01,Fire & Gas Detection for Fire Zone 1001,INSTRUMENT,93,0.00,0.00,0,0.00,0.00,0.00
FGS,Fire and Gas Detection,FGS-02,Fire & Gas Detection for Fire Zone 1002,INSTRUMENT,143,0.00,0.00,0,0.00,0.00,0.00
FGS,Fire and Gas Detection,FGS-03,Fire & Gas Detection for Fire Zone 1003,INSTRUMENT,151,0.00,0.00,0,0.00,0.00,0.00
FGS,Fire and Gas Detection,FGS-04,Fire & Gas Detection for Fire Zone 1004,INSTRUMENT,173,0.00,0.00,0,0.00,0.00,0.00
FGS,Fire and Gas Detection,FGS-05,Fire & Gas Detection for Fire Zone 1005,INSTRUMENT,130,0.00,0.00,0,0.00,0.00,0.00
FGS,Fire and Gas Detection,FGS-06,Fire & Gas Detection for Fire Zone 1006,INSTRUMENT,30,0.00,0.00,0,0.00,0.00,0.00
FGS,Fire and Gas Detection,FGS-07,Fire & Gas Detection for Fire Zone 1007,INSTRUMENT,34,0.00,0.00,0,0.00,0.00,0.00
FGS,Fire and Gas Detection,FGS-08,Fire & Gas Detection for Substation,ELECTRICAL,95,0.00,0.00,0,0.00,0.00,0.00
FGS,Fire and Gas Detection,FGS-08,Fire & Gas Detection for Substation,INSTRUMENT,2,0.00,0.00,0,0.00,0.00,0.00
FGS,Fire and Gas Detection,FGS-09,Fire & Gas Detection for Control Building,ELECTRICAL,91,0.00,0.00,0,0.00,0.00,0.00
FGS,Fire and Gas Detection,FGS-09,Fire & Gas Detection for Control Building,INSTRUMENT,3,0.00,0.00,0,0.00,0.00,0.00
FGS,Fire and Gas Detection,FGS-10,Fire & Gas Detection for Laboratory,ELECTRICAL,50,0.00,0.00,0,0.00,0.00,0.00
FGS,Fire and Gas Detection,FGS-10,Fire & Gas Detection for Laboratory,INSTRUMENT,2,0.00,0.00,0,0.00,0.00,0.00
FGS,Fire and Gas Detection,FGS-11,Fire & Gas Detection for Diesel Room,ELECTRICAL,4,0.00,0.00,0,0.00,0.00,0.00
FGS,Fire and Gas Detection,FGS-12,Fire & Gas Detection for Analyzer House,,0,0.00,0.00,0,0.00,0.00,0.00
FGS,Fire and Gas Detection,FGS-13,Fire & Gas Detection for Security Building,,0,0.00,0.00,0,0.00,0.00,0.00
FGS,Fire and Gas Detection,FGS-14,Fire & Gas Detection for Warehouse Building,INSTRUMENT,15,0.00,0.00,0,0.00,0.00,0.00
HVAC,HVAC System,HVAC-01,HVAC for Substation,ELECTRICAL,2,0.00,0.00,0,0.00,0.00,0.00
HVAC,HVAC System,HVAC-02,HVAC for Control Building,ELECTRICAL,3,0.00,0.00,0,0.00,0.00,0.00
HVAC,HVAC System,HVAC-03,HVAC for Laboratory & Yard Office,ELECTRICAL,1,0.00,0.00,0,0.00,0.00,0.00
HVAC,HVAC System,HVAC-04,HVAC for Analyzer House,ELECTRICAL,1,0.00,0.00,0,0.00,0.00,0.00
